ИД;Название организации
610;Саратоворгдиагностика
611;Саратоворгсинтез
612;Саратовская ТЭЦ-1 ГРЭС
613;Саратовская ТЭЦ-2
614;Саратовский НПЗ
617;СГМУП Городские Тепловые Сети
618;Себряковцемент
619;Севергазавтоматика
620;Газпром трансгаз Ухта
621;Севернефтегазпром
622;Севернефть
623;Северное ЛПУ
624;Транснефть-Север
625;Североргсинтез
626;Северснабкомплектмонтаж
627;Северсталь - Сортовой завод Балаково
628;Северстройавтоматика
629;Северэнергия
630;Севкавгипроводхоз
631;Севстройинвест
632;Сенсор
633;Сервисная логистическая компания
634;Серебряный мир 2000
636;СибГазНефтьПроект
637;Сибгеопроект
638;Сибирский завод металлоизделий
639;Сибирский пивоваренный завод
640;Сибирьтеплосервис
641;Сибкомплектмонтаж
643;Сибкомплектмонтажналадка
644;Сиблакпром
645;СибНАЦ
646;Сибнефтеавтоматика
647;Сибнефтегаз
648;Сибнефтемаш
649;Сибнефтепровод
650;Сибнефтепроводстрой
652;СибНИПИРП
653;Сибпроект-сервис
654;Сибрыба
655;СибТЭК
656;СИБУР Холдинг
658;Сибур-Нефтехим
659;СибурТюменьГаз
662;Симрос
664;Синтез
665;Синтез-Каучук
667;Система-Инвест
668;Ситниковский молочно-консервный комбинат
669;Славнефть
670;СМУ-ТС Чехов
671;СНГДУ-2
672;Сода
673;Сосногорский ГПЗ
675;Сочиагропромпроект
676;Сочиводоканал
678;Сочинская ТЭС
680;СП Черногорское
681;Спецкомплектресурс 2001
682;Спецнефтегазстрой
683;Спецэлектромеханика-Сервис
684;СтавГазСервис
685;Ставролен
686;Ставропласт
687;Ставрополькрайводоканал
688;Ставропольнефтегаз
690;Ставропольская ГРЭС
691;Ставрополь-Терминал
693;Старомарьевская нефтебаза
694;Старстрой-Инжиниринг
695;Стройгазконсалтинг
696;СТРОЙГАЗМОНТАЖ
697;Стройинвест-47
698;Стройнефтегаз
699;Стройпортхолдинг
700;Стройпроекттехнология
701;Стройтрансгаз-М
702;Строй-Трест
704;Сургутгаз
705;Сургутнефтегаз
706;Сургутнефтегаз Техническое управление
707;Сургутнефтегаз УВСИНГ
708;Сургутнефтегаз УВЭД
709;Сургутнефтегаз Управление по переработке газа
710;Сургутнефтехиммонтаж
711;Сургутнефть
712;Сургутнефтьмонтажкомплект
713;СургутНИПИнефть
714;Сургутская ГРЭС 1
715;Сургутская ГРЭС-2
717;Сургутские тепловые сети (СТС)
718;Сургутский гормолзавод
719;Сургутский ЗСК
720;Сургутский мясокомбинат
721;Сургутский Пивзавод
722;Сургутский хлебозавод
723;Сургутское УМН
724;Сызранская ТЭЦ
725;Сызранский НПЗ
727;Таганрогский металлургический завод
728;Таганрогский метизный завод
729;Таганрогский морской торговый порт
730;ТАГМЕТ
731;Талаканнефть
732;Таманьнефтегаз
733;НОВАТЭК-Таркосаленефтегаз
734;Татнефть (Самара)
735;ТГК-10
736;ТД ЛУКОЙЛ
737;Теплолюкс-Тюмень
738;Теплолюкс-Юг
739;Теплосети Сургут
740;Теплостройинжениринг
741;Теплотехсервис
742;Теплоэнергосервис-ЭК
743;Терем
744;Терра-Юг
746;Техничекий текстиль
747;Техномаш
749;ГК ТИТАН
